Country/Territory,IMF_Forecast,IMF_Year,WB_Estimate,WB_Year,UN_Estimate,UN_Year
World,113795678.0,2025,111326370.0,2024,100834796.0,2022
United States,30507217.0,2025,29184890.0,2024,27720700.0,2023
China,19231705.0,2025,18743803.0,2024,17794782.0,2023
Germany,4744804.0,2025,4659929.0,2024,4525704.0,2023
India,4187017.0,2025,3912686.0,2024,3575778.0,2023
Japan,4186431.0,2025,4026211.0,2024,4204495.0,2023
United Kingdom,3839180.0,2025,3643834.0,2024,3380855.0,2023
France,3211292.0,2025,3162079.0,2024,3051832.0,2023
Italy,2422855.0,2025,2372775.0,2024,2300941.0,2023
Canada,2225341.0,2025,2241253.0,2024,2142471.0,2023
Brazil,2125958.0,2025,2179412.0,2024,2191132.0,2023
Russia,2076396.0,2025,2173836.0,2024,2008419.0,2023
Spain,1799511.0,2025,1722746.0,2024,1620091.0,2023
South Korea,1790322.0,2025,1712793.0,2023,1839058.0,2023
Australia,1771681.0,2025,1752193.0,2024,1775628.0,2023
Mexico,1692640.0,2025,1852723.0,2024,1793799.0,2023
Turkey,1437406.0,2025,1323255.0,2024,1118253.0,2023
Indonesia,1429743.0,2025,1396300.0,2024,1371171.0,2023
Netherlands,1272011.0,2025,1227544.0,2024,1154361.0,2023
Saudi Arabia,1083749.0,2025,1237530.0,2024,1067583.0,2023
Poland,979960.0,2025,914696.0,2024,809201.0,2023
Switzerland,947125.0,2025,936564.0,2024,894425.0,2023
Taiwan,804889.0,2025,,,,
Belgium,684864.0,2025,664564.0,2024,644783.0,2023
Argentina,683533.0,2025,633267.0,2024,646075.0,2023
Sweden,620297.0,2025,610118.0,2024,584960.0,2023
Ireland,598840.0,2025,577389.0,2024,551395.0,2023
Israel,583361.0,2025,540380.0,2024,513611.0,2023
Singapore,564774.0,2025,547387.0,2024,501428.0,2023
United Arab Emirates,548598.0,2025,537079.0,2024,514130.0,2023
Thailand,546224.0,2025,526411.0,2024,514945.0,2023
Austria,534301.0,2025,521642.0,2024,511685.0,2023
Norway,504276.0,2025,483727.0,2024,485311.0,2023
Philippines,497495.0,2025,461618.0,2024,437146.0,2023
Vietnam,490970.0,2025,476388.0,2024,429717.0,2023
Bangladesh,467218.0,2025,450119.0,2024,422431.0,2023
Denmark,449940.0,2025,429457.0,2024,407092.0,2023
Malaysia,444984.0,2025,421972.0,2024,399649.0,2023
Colombia,427766.0,2025,418542.0,2024,363540.0,2023
Hong Kong,423999.0,2025,407107.0,2024,380812.0,2023
South Africa,410338.0,2025,400261.0,2024,377782.0,2023
Romania,403395.0,2025,382768.0,2024,350776.0,2023
Pakistan,,,373072.0,2024,299864.0,2023
Czech Republic,360244.0,2025,345037.0,2024,343208.0,2023
Egypt,347342.0,2025,389050.0,2024,331590.0,2023
Chile,343823.0,2025,330267.0,2024,335533.0,2023
Iran,341013.0,2025,436906.0,2024,401596.0,2023
Portugal,321440.0,2025,308683.0,2024,289114.0,2023
Finland,303945.0,2025,299836.0,2024,295532.0,2023
Peru,303293.0,2025,289222.0,2024,267603.0,2023
Kazakhstan,300538.0,2025,288406.0,2024,264293.0,2023
Algeria,268885.0,2025,263620.0,2024,247626.0,2023
Greece,267348.0,2025,257145.0,2024,243498.0,2023
Iraq,258020.0,2025,279641.0,2024,232107.0,2023
New Zealand,248666.0,2025,260236.0,2024,252176.0,2023
Hungary,237070.0,2025,222905.0,2024,212657.0,2023
Qatar,222776.0,2025,217983.0,2024,213003.0,2023
Ukraine,205742.0,2025,190741.0,2024,178757.0,2023
Cuba,,,,,201986.0,2023
Nigeria,188271.0,2025,187760.0,2024,374984.0,2023
Morocco,165835.0,2025,154431.0,2024,144438.0,2023
Kuwait,153101.0,2025,160227.0,2024,163705.0,2023
Slovakia,147031.0,2025,141776.0,2024,132908.0,2023
Uzbekistan,132484.0,2025,114965.0,2024,90889.0,2023
Kenya,131673.0,2025,124499.0,2024,108039.0,2023
Dominican Republic,127828.0,2025,124282.0,2024,121444.0,2023
Ecuador,125677.0,2025,124676.0,2024,118845.0,2023
Puerto Rico,122522.0,2025,125842.0,2024,117902.0,2023
Guatemala,121177.0,2025,113200.0,2024,104451.0,2023
Ethiopia,117457.0,2025,163698.0,2023,159746.0,2023
Bulgaria,117007.0,2025,112212.0,2024,102397.0,2023
Angola,113343.0,2025,80397.0,2024,90552.0,2023
Venezuela,108511.0,2025,,,139395.0,2023
Oman,104351.0,2025,106943.0,2024,105896.0,2023
Costa Rica,102591.0,2025,95350.0,2024,86498.0,2023
Sri Lanka,,,98963.0,2024,84364.0,2023
Croatia,98951.0,2025,92526.0,2024,84391.0,2023
Luxembourg,96613.0,2025,93197.0,2024,85755.0,2023
Ivory Coast,94483.0,2025,86538.0,2024,78789.0,2023
Serbia,92549.0,2025,89084.0,2024,75187.0,2023
Panama,91675.0,2025,86260.0,2024,83382.0,2023
Lithuania,89192.0,2025,84869.0,2024,79790.0,2023
Turkmenistan,89054.0,2025,64240.0,2024,59887.0,2023
Ghana,88332.0,2025,82825.0,2024,76370.0,2023
Tanzania,85977.0,2025,78780.0,2024,78353.0,2023
Uruguay,79731.0,2025,80962.0,2024,77236.0,2023
DR Congo,79119.0,2025,70749.0,2024,69338.0,2023
Azerbaijan,78870.0,2025,74316.0,2024,72356.0,2023
Slovenia,75224.0,2025,72485.0,2024,69148.0,2023
Belarus,71561.0,2025,75962.0,2024,71857.0,2023
Myanmar,64944.0,2025,74080.0,2024,62084.0,2023
Uganda,64277.0,2025,53652.0,2024,51023.0,2023
Bolivia,56339.0,2025,49668.0,2024,45135.0,2023
Tunisia,56291.0,2025,53410.0,2024,48541.0,2023
Jordan,56102.0,2025,53352.0,2024,50814.0,2023
Cameroon,56011.0,2025,51327.0,2024,49279.0,2023
Macau,53354.0,2025,50183.0,2024,45803.0,2023
Cambodia,49799.0,2025,46353.0,2024,42824.0,2023
Bahrain,47829.0,2025,47737.0,2024,44662.0,2023
Libya,47484.0,2025,46636.0,2024,44030.0,2023
Nepal,46080.0,2025,42914.0,2024,40484.0,2023
Latvia,45535.0,2025,43521.0,2024,42248.0,2023
Paraguay,45465.0,2025,44458.0,2024,42955.0,2023
Estonia,45004.0,2025,42765.0,2024,41291.0,2023
Cyprus,38736.0,2025,36333.0,2024,33887.0,2023
Zimbabwe,38172.0,2025,44188.0,2024,30368.0,2023
Honduras,38172.0,2025,37094.0,2024,34401.0,2023
El Salvador,36749.0,2025,35365.0,2024,34016.0,2023
Georgia,35353.0,2025,33776.0,2024,30536.0,2023
